listing_id,lat,lon
416651,34.08609,-118.27127
422037,33.99259880951632,-118.45674772083936
424793,34.07752,-118.2761
51546,34.11874,-118.32113
51922,34.01384,-118.49728
52997,34.15227,-118.10359
408035,34.05542,-118.35994
409740,34.12474,-118.35844
411757,34.0929,-118.27854
589056,34.09517,-118.34399
590936,34.07754623867473,-118.22110261402388
590957,33.8634,-118.37026
591831,34.07808,-118.20739
593043,34.00816,-118.46601
594777,34.07645,-118.20635
53945,34.062870677311345,-118.37375830599689
61578,33.99122,-118.46898
61582,34.11082,-118.23036
430682,34.10746,-118.34073
431476,34.10336,-118.32366
433619,34.14402,-118.36914
435277,34.07173,-118.386
438464,34.09782,-118.61694
440820,33.98111753672138,-118.37638871879048
441166,33.76478,-118.13349
446566,34.09557,-118.34064
63416,34.11343659747514,-118.32398830704685
64574,34.12769,-118.32167
67089,34.00985,-118.40798
67792,34.08271026611328,-118.3886489868164
69838,34.03833,-118.33662
72186,34.04236,-118.30637
74770,34.18177,-118.52621
598240,33.85675,-118.39704
604321,34.09372,-118.118
611542,34.11037,-118.38294
611841,34.11737,-118.32114
611903,34.106237427326384,-118.26252949906416
619457,34.10854,-118.3145
621233,34.09749,-118.61543
622766,34.09513,-118.35534
75212,33.8465,-118.08244
446757,34.10336,-118.32366
460731,33.90045,-118.40868
462726,34.15898,-118.4593
463025,33.98851899940885,-118.42277418058016
468573,33.76459,-118.13367
469951,33.98861,-118.45721
472748,33.988040924072266,-118.4671401977539
76561,33.98522,-118.35942
79502,34.08285903930664,-118.27875518798828
80714,34.05798,-118.35541
84636,33.91942,-118.20913
473632,34.15438,-118.60947
490221,34.09742866420303,-118.50191207554865
492235,34.00858,-118.45334
495207,33.98682,-118.46196
498014,33.99847,-118.46617
498342,34.21033,-118.61166
499612,34.04045,-118.2335
626181,33.99571640179683,-118.4608312351106
626302,33.91942,-118.20913
634390,34.18268,-118.59633
635213,34.15438,-118.08306
636629,34.07507,-118.2085
638927,34.09385,-118.35044
639363,33.99849,-118.43987
642537,34.02801,-118.40921
84789,34.16708,-118.64441
85246,34.05467,-118.36356
86674,34.08195,-118.2784
86945,34.08483,-118.36664
87595,33.96731,-118.41919
643453,34.07548,-118.20822
644008,34.1016,-118.32992
644009,34.10239,-118.32851
649834,34.11262,-118.3071
658312,34.10706,-118.16624
658342,34.01834,-118.36781
663876,34.06759,-118.38192
663889,34.08227,-118.59944
667836,34.14511,-117.99678
668111,33.99796,-118.4775
500559,34.03372,-118.47139
502172,34.12597,-118.22577
504631,34.20169,-118.50028
506650,34.01883,-118.46399
507927,34.07979738778798,-118.60114331369924
510381,33.98945,-118.4752
512682,34.08975,-118.2787
513313,34.20834,-118.23681
513635,33.9882,-118.4555
90986,34.03948,-118.34081
96334,34.15401181849794,-118.60378355158
97000,33.91942,-118.20913
730842,34.03647,-118.23219
514836,34.099049,-118.320488
524134,33.99826,-118.46464
525998,33.98892,-118.47138
528357,34.16533,-118.35153
533646,34.10038,-118.33003
533884,33.91961,-118.42146
534552,34.08523,-118.27088
669590,34.09995,-118.32801
669808,34.0476258,-118.4346024
669825,34.04765319824219,-118.43460083007812
669955,34.16466220018493,-118.4641867633941
675783,33.90041,-118.40844
676727,34.00985,-118.40897
678709,33.83605,-118.38693
679695,33.77686,-118.32595
686348,34.07537,-118.2562
732392,34.07036,-118.38114
732969,34.08141,-118.3206
733051,34.00171,-118.46581
733673,34.1152,-118.31863
734774,34.04245,-118.30607
737112,33.99736,-118.46766
686726,34.16484,-118.33
687106,33.95674,-118.4312
687590,34.06329,-118.37188
688048,33.7742,-118.3922
